종목명,종목코드,현재가,전일대비,등락률(%),거래량,거래대금,외국인보유율(%),시가총액
뉴엔AI,463020,6840,-230,-3.25,173359,1173263000,3,61472000000
웨이브일렉트로,095270,4270,160,3.89,45449,192962000,5.58,61370000000
디에스엠,104040,2285,-95,-3.99,25272,60340000,0.33,61268000000
유비벨록스,089850,4150,-125,-2.92,16727,68832000,3.46,61130000000
오비고,352910,4830,60,1.26,6048,29125000,0.73,61040000000
지구홀딩스,221800,3740,-50,-1.32,16907,63213000,2.6,61032000000
보락,002760,1018,22,2.21,44903,44000000,3.99,60978000000
와이어블,065530,1297,47,3.76,1107626,1486444000,1.5,62046000000
에이비온,203400,676,0,0,0,0,4.49,60908000000
테고사이언스,191420,7500,230,3.16,37895,295914000,1.59,60816000000
뷰노,338220,4340,-260,-5.65,122763,533611000,2.7,60767000000
컴투스엔,291230,2530,-5,-0.2,7847,19830000,35.6,60748000000
에르코스,435570,7970,760,10.54,1130,8007000,0.8,60707000000
오픈베이스,049480,1927,-71,-3.55,209723,411060000,5.55,60550000000
3S,060310,1141,-1,-0.09,73065,82884000,2.46,60540000000
에피소드컴퍼니,317530,3460,145,4.37,17722,56378000,0.33,60532000000
앤디포스,238090,1975,250,14.49,252657,506899000,1.05,60218000000
FSN,214270,1330,32,2.47,33943,43732000,0,60184000000
유유제약,000220,3820,-10,-0.26,32392,123000000,2.41,60155000000
피엠티,147760,3005,40,1.35,40222,121229000,3.76,60100000000
디티씨,066670,3215,0,0,8544,27405000,1.06,60094000000
부방,014470,1046,33,3.26,45992,47072000,1.38,59673000000
알체라,347860,1415,34,2.46,80331,112219000,5.92,59647000000
이건홀딩스,039020,2635,35,1.35,21745,55999000,1.52,59510000000
HLB제넥스,187420,1819,26,1.45,41561,74046000,0.92,59381000000
화일약품,061250,7040,-2230,-24.06,374441,2798945000,0,59259000000
알트,459550,2340,-115,-4.68,793673,1884251000,2.15,59016000000
서울평가정보,036120,1679,21,1.27,25280,41874000,1.64,59008000000
오리콤,010470,4920,20,0.41,1587,7828000,4.08,58917000000
태양,053620,6850,-20,-0.29,984,6745000,1.15,58910000000
소마젠,950200,3050,-100,-3.17,62714,191421000,0,58669000000
코닉오토메이션,391710,1380,-122,-8.12,1387204,1922658000,0.61,58816000000
셀바스헬스케어,208370,2280,0,0,36860,84287000,4.16,58688000000
시선AI,340810,4200,40,0.96,172381,709221000,4.76,58587000000
호전실업,111110,6450,80,1.26,12430,78000000,2.03,58475000000
삼화왕관,004450,27100,-100,-0.37,762,20000000,5.51,58383000000
토탈소프트,045340,6820,-40,-0.58,19447,130653000,8.21,58365000000
제이씨현시스템,033320,3040,-35,-1.14,52599,160258000,3.78,58107000000
엠투엔,033310,1455,39,2.75,34597,48885000,1.34,58159000000
DGI,099520,1284,0,0,0,0,0.93,58141000000
엔시스,333620,5280,80,1.54,2634,13662000,1.27,58068000000
수산아이앤티,050960,8600,30,0.35,2328,20120000,1.41,58058000000
희림,037440,4170,-20,-0.48,117333,482932000,6.48,58056000000
제이엔케이글로벌,126880,2500,40,1.63,19901,49422000,2.33,57920000000
이엔셀,456070,5250,-70,-1.32,14612,75691000,3.84,57904000000
태경케미컬,006890,4990,40,0.81,5883,29000000,1.23,57884000000
LK삼양,225190,821,0,0,0,0,1.09,57854000000
BYC우,001465,26850,150,0.56,3389,89000000,5.25,57830000000
DL이앤씨우,37550K,27300,-100,-0.36,9768,267000000,10.11,57709000000
대주산업,003310,1630,1,0.06,133763,218957000,9.34,57689000000
레몬,294140,2315,-70,-2.94,8623,19761000,1.25,57677000000
코츠테크놀로지,448710,10900,-250,-2.24,8264,90685000,4.69,57609000000
코위버,056360,5870,120,2.09,439007,2628742000,2.97,57507000000
아이티센피엔에스,232830,3480,800,29.85,518294,1802418000,1.64,57537000000
지에스이,053050,1915,-21,-1.08,143040,276233000,3.8,57426000000
케이사인,192250,8120,-160,-1.93,59034,481090000,3.29,57385000000
진양제약,007370,4055,90,2.27,2686,10634000,3.02,57315000000
윈팩,097800,2100,50,2.44,23758,48713000,0.71,57309000000
아고스,175140,2295,-245,-9.65,83653,196048000,1.62,57247000000
새론오토모티브,075180,2980,45,1.53,40260,119000000,65.98,57216000000
현대건설우,000725,54200,100,0.18,1526,81000000,5.66,57164000000
엔젯,419080,5230,350,7.17,22058,104764000,0,56859000000
레뷰코퍼레이션,443250,5260,-220,-4.01,13797,72989000,1.38,56859000000
삼천리자전거,024950,4585,20,0.44,19935,90073000,2.44,56854000000
남양유업우,003925,29650,200,0.68,2916,85000000,9.68,56072000000
덕우전자,263600,3515,-25,-0.71,7912,27334000,2.6,55995000000
화승알앤에이,378850,2945,0,0,14959,43000000,3.2,55936000000
유화증권우,003465,3200,-40,-1.23,39,0,0,55924000000
우리산업,215360,6120,-50,-0.81,6109,37422000,3.06,55888000000
인터지스,129260,1876,-28,-1.47,43961,83000000,5.75,55807000000
평화산업,090080,1016,11,1.09,95379,95000000,3.7,55780000000
인디에프,014990,3705,5,0.14,141390,521000000,0.07,55658000000
성원에너텍,340930,806,0,0,0,0,1.81,55513000000
일진디스플,020760,902,0,0,0,0,0.88,55503000000
노랑풍선,104620,3300,-60,-1.79,136442,451058000,1.68,55474000000
기신정기,092440,1897,-30,-1.56,66120,124000000,63.21,55392000000
미래에셋글로벌리츠,396690,1398,-18,-1.27,80965,113000000,1,55369000000
한국선재,025550,2170,40,1.88,92241,202050000,4.48,55365000000
위지트,036090,1301,-3,-0.23,135179,172790000,0.92,55358000000
디알젬,263690,4885,-45,-0.91,3542,17327000,15.49,55325000000
유안타증권우,003475,4315,5,0.12,10452,44000000,8.22,55281000000
씨케이솔루션,480370,1698,-63,-3.58,298035,503000000,0.59,55153000000
에스엠씨지,460870,2735,15,0.55,34039,92035000,1.96,54900000000
마이크로투나노,424980,9270,430,4.86,15479,137423000,4.24,54868000000
한컴라이프케어,372910,1982,-83,-4.02,861276,1704000000,3.31,54850000000
와이엠텍,273640,5000,-60,-1.19,8126,41206000,2.28,54830000000
구영테크,053270,2000,43,2.2,43755,84646000,1.94,54820000000
위츠,459100,4070,70,1.75,7874,31407000,4.71,54807000000
조비,001550,10550,-20,-0.19,16510,174000000,1.86,54778000000
에스디생명공학,217480,499,0,0,0,0,1.67,54756000000
삼양케이씨아이,036670,5080,30,0.59,8109,40737000,3.11,54661000000
유신,054930,18200,330,1.85,3319,59070000,3.43,54600000000
코스리거글로벌,043710,3150,90,2.94,4559,14131000,0.29,54534000000
브이원텍,251630,3415,-15,-0.44,10575,35582000,1.47,54444000000
파이오링크,170790,8500,-40,-0.47,13596,113598000,4.44,54377000000
노브메타파마,229500,4185,160,3.98,3417,13706000,0,54365000000
딥노이드,315640,1848,85,4.82,130396,236349000,2.88,54279000000
고바이오랩,348150,2795,25,0.9,14747,40034000,2.74,54275000000
해성에어로보틱스,059270,4855,-25,-0.51,55908,271264000,4.86,54207000000
SG&G,040610,3180,20,0.63,21883,68665000,2.98,54198000000
퀀텀레일,070300,1525,-34,-2.18,277256,422212000,5.19,54175000000
SJM홀딩스,025530,3625,30,0.83,3858,13000000,1.97,54135000000
오리엔트바이오,002630,913,0,0,0,0,0.42,54133000000
모나리자,012690,1469,9,0.62,41722,60000000,2.32,53723000000
코렌텍,104540,4005,20,0.5,5431,21649000,3.34,53696000000
SJM,123700,3440,50,1.47,16575,55000000,7.56,53680000000
코리아나,027050,1337,11,0.83,116001,154241000,3.33,53480000000
케이피항공산업,288180,7230,220,3.14,18324,131670000,1.27,53453000000
제이티,089790,5170,355,7.37,147359,743783000,7.99,53331000000
범양건영,002410,1935,0,0,0,0,1.14,53173000000
경남스틸,039240,1967,40,2.08,16810,32181000,3.12,53068000000
아티스트컴퍼니,321820,3400,10,0.29,149252,499876000,0.88,53010000000
피엔케이피부임상연구센타,347740,1766,-42,-2.32,59276,103659000,1.58,52998000000
SK디스커버리우,006125,43000,500,1.18,2219,94000000,6.85,52963000000
애드바이오텍,179530,1943,-57,-2.85,607735,1097796000,1.18,52905000000
HLB파나진,046210,1162,-8,-0.68,8082,9335000,1.4,52903000000
SK케미칼우,28513K,25000,-450,-1.77,1831,46000000,8.61,52885000000
우성,006980,17060,-240,-1.39,1398,23000000,0.98,52715000000
에이에스텍,453860,8180,-10,-0.12,3418,27404000,13.07,52715000000
경창산업,024910,1471,-53,-3.48,51933,77738000,3.16,52689000000
인성정보,033230,1041,31,3.07,153688,158292000,5.52,52586000000
에너토크,019990,5390,-70,-1.28,44251,235921000,11.63,52585000000
이닉스,452400,5790,140,2.48,15555,88184000,1.5,52523000000
동우팜투테이블,088910,2040,-10,-0.49,33823,68814000,6.16,52472000000
진양산업,003780,4035,120,3.07,81456,325000000,3.97,52455000000
쿼드메디슨,464490,4545,-140,-2.99,28406,130601000,4.21,52186000000
코콤,015710,2975,20,0.68,4176,12208000,1.81,52153000000
삼진식품,0013V0,5250,20,0.38,30812,161689000,2.35,52072000000
신송홀딩스,006880,4400,-60,-1.35,19911,87000000,2.29,52046000000
전방,000950,30900,-1600,-4.92,547,17000000,0.92,51912000000
TS인베스트먼트,246690,2180,-50,-2.24,45295,97110000,0.26,51836000000
위닉스,044340,2900,-65,-2.19,61466,179189000,1.11,51832000000
서원,021050,1091,-14,-1.27,78570,86000000,5.86,51794000000
알피바이오,314140,5970,0,0,8873,52493000,1.97,51738000000
삼화전자,011230,2695,25,0.94,201232,538000000,3.18,51651000000
평화홀딩스,010770,3530,20,0.57,18401,64000000,16.06,51627000000
옵티시스,109080,9150,280,3.16,29883,272268000,2.34,51569000000
에어레인,163280,3800,-165,-4.16,186718,716966000,3.17,51691000000
덕성,004830,3285,20,0.61,26252,84000000,3.74,51508000000
한패스,408470,4845,-110,-2.22,46795,224253000,4.6,51221000000
알비더블유,361570,1785,5,0.28,12342,21718000,4.07,51306000000
코리아써우,007815,17300,250,1.47,82,1000000,6.87,51289000000
퓨런티어,370090,5980,220,3.82,14374,83141000,7.45,51169000000
푸른로보틱스,094940,6110,20,0.33,28680,173540000,1.83,51088000000
인팩,023810,5100,30,0.59,16982,85000000,0,51000000000
비트플래닛,049470,2165,-40,-1.81,64020,134341000,23.62,50974000000
부산산업,011390,48200,-350,-0.72,2943,140000000,1.33,50899000000
포인트엔지니어링,256630,4375,50,1.16,1111,4818000,0.59,50747000000
